time,Ca1,Cb1,T1,Ca2,Cb2,T2,Ca3,Cb3,T3,fault
0.0,2.0,0.0,340.0,2.0,0.0,340.0,2.0,0.0,340.0,none
0.5005005005005005,1.9705600927281697,0.02928867007187977,339.99596432421674,1.9701942030748372,0.029652044793478535,339.9959140251622,1.970191161236432,0.029655063074677506,339.9959136064052,none
1.001001001001001,1.9422845813657428,0.05712566687900072,339.9920222178325,1.9408599327752964,0.058530580831287954,339.99182414082094,1.9408360690876327,0.05855421226548317,339.9918208388322,none
1.5015015015015016,1.9151273584607609,0.08357874969416054,339.98817155467515,1.9120063199368398,0.08663521065597658,339.98773276750774,1.911928378786314,0.08671168719843966,339.9877218266506,none
2.002002002002002,1.8890442513083499,0.10871242910205137,339.9844102571654,1.8836408666760414,0.11396756407942318,339.9836422133554,1.8834623151898755,0.11414098548507372,339.983616760694,none
2.5025025025025025,1.8639927001939616,0.132588569449413,339.98073629194977,1.855769940398066,0.14053051109792933,339.9795546892683,1.8554323765774974,0.14085527287200694,339.97950587526043,none
3.0030030030030033,1.8399317574709702,0.15526639057540922,339.97714766988827,1.8283987752287298,0.1663281596013893,339.9754723089654,1.8278333337801302,0.16686738445213417,339.9753894480605,none
3.503503503503504,1.816822087560673,0.17680246781162767,339.97364244605427,1.8015314720145017,0.19136585537329032,339.9713970889805,1.8006602301804953,0.1921898246646231,339.97126780021756,none
4.004004004004004,1.7946259355880023,0.1972507818147874,339.9702187190604,1.7751710083717966,0.21565019155392476,339.96733095070147,1.773908407280081,0.21683471234539078,339.9671412950143,none
4.504504504504505,1.773307202468636,0.216662566734864,339.96687463189426,1.7493190700908225,0.23918930882056888,339.96327571723924,1.7475736448690031,0.24081356405689022,339.9630103430451,none
5.005005005005005,1.752831294470645,0.23508660436478984,339.96360837018017,1.7239763370934105,0.2619924022249697,339.9592331198068,1.7216519409343485,0.2641376308101328,339.958875393115,none
5.505505505505506,1.733164872378127,0.25256967627657245,339.96041815816324,1.6991427981468412,0.28406926948056765,339.9552048109139,1.6961393835658958,0.2868180377236246,339.954736918969,none
6.0060060060060065,1.7142758472099433,0.2691565713043682,339.9573022586345,1.6748177552227366,0.30543030554258155,339.9511923646063,1.6710321502236165,0.30886578386447794,339.950595419078,none
6.506506506506507,1.6961333802197183,0.28489008554448186,339.9542589729309,1.6509998234970609,0.32608650260800875,339.94719727646583,1.6463265077376763,0.33029174224841173,339.94645141663943,none
7.007007007007008,1.6787078581339585,0.2998110637826602,339.95128664042363,1.627686949447456,0.3460494340850222,339.94322096514503,1.622018816024049,0.35110664714426437,339.9423054584929,none
7.507507507507508,1.661970913385078,0.3139583472935989,339.94838363839494,1.604876317529971,0.3653314391699995,339.9392647722125,1.5981056237496198,0.3713209434575236,339.9381581174391,none
8.008008008008009,1.6458954755064246,0.3273686958698857,339.94554838340724,1.5825643439217891,0.3839455843078711,339.93532995830327,1.574583615528727,0.39094489055955517,339.93400999411796,none
